full_text,Label,tweet_url
"minimal kl gue editin cari materinya lah ajg udh di bagi juga tugas per materi malah kaga di cari, boro boro di cari pesan ny di read aja kaga BABI LO ANJING BEBAN BNR ðŸ˜ƒ ijin misuh y",Bully,https://twitter.com/cook1iejar/status/1705733685113455002
jamur ðŸ„: ngapain sih ikut becky ke luar negeri.mending tiduran di rumah sama aku sambil maen sama anjing. kalau kamu pergi pergi terus kapan ada waktu sama aku yaaaaaaangggg ðŸ˜’ðŸ˜’,Bully,https://twitter.com/nindy113/status/1705733387460510053
"@moviemenfes susi saha anjing?? btw galang, sampe sekarang juga masih galangðŸ˜—",Nobully,https://twitter.com/sluttheryne/status/1705733366652535208
"Gini amat Jadi Tim Gede pemegang 20 Gelar Liga inggris   Keliatan banget kali Pada syirik nya ke emyu . Apalagi small club"" itu  MAKAN TUH FAKTA ANJING https://t.co/fVjhKkfuyN""",Nobully,https://twitter.com/yourPizzaaaaa/status/1705733329000202726
@Zaim72790295 @PDI_Perjuangan Lah ini anjing lagi ngetweet,Nobully,https://twitter.com/SzZelo/status/1705733309417021512
GAK SALAH SIH ANJING WKKWKWKWK,Nobully,https://twitter.com/nasgorperson/status/1705733274692403466
anjing admin kantor pada dibayarin nonton aespa tottt iri berat,Nobully,https://twitter.com/evangelipo/status/1705732933032771755
@menfesspelangi_ Tonjok perut dia = gw cemburu anjing,Nobully,https://twitter.com/4puyerr/status/1705732843358535747
segala salah submit anjingg anjinggg,Nobully,https://twitter.com/wzonyx/status/1705732832457638279
MAU ANAK ANJING PAKE BANGETTTTTTTTTTT,Nobully,https://twitter.com/shxlladestiani/status/1705732488872804663
@anggvr Bukan masalah percaya rumor t Pi Tae pasti baklan date sama cewek ga bakalan sama cowok anjing memang mereka yang tolol ngatain tolol bilang Tae dating women tuh langsung pada tantrum jekicot dating bongo,Nobully,https://twitter.com/maincharacter95/status/1705732429863067837
ANJING LAH ANJING,Nobully,https://twitter.com/Redgann_/status/1705732362687091076
@vanillarosessr gausah bawa2 army anjing gaada sangkut pautnya orang ini antar reveluv blink paling gak demen lagi ngomongin apa yang dibahas apa ganyambung bgt,Nobully,https://twitter.com/chikatiejk/status/1705732337538117751
"Marah sm si anjing, sakit hati gara2 si anjg, pengin peluk hn, ngarep sm sencol  Sencol jan jawab aneh2 ya sencol, kasihan hn akðŸ¥º",Nobully,https://twitter.com/aleonu_bae/status/1705732300867248168
emg kntol dh lu smw anjing,Nobully,https://twitter.com/cscseo/status/1705732256437006835
mampus anjing,Nobully,https://twitter.com/cscseo/status/1705732070570704919
Pagi pagi udah ngeliat kelakuan solos kontol anjing muka lu sini gue remes remes biar kisut anjing,Bully,https://twitter.com/slvtbehivour/status/1705731960793190631
Anjing.,Nobully,https://twitter.com/chelsimp4byul/status/1705731866182270983
@Z100NewYork @GlblCtzn @YoJoshMartinez Anjing Latto ðŸ˜­ kaget aing,Nobully,https://twitter.com/denia_paramita/status/1705731856522719716
"kek ANJING kenapa elu bisa SAYING ONE OF THE MEANEST THING TO ME tapi giliran gw yg ngomong 'JAHAT' elu koar koar ngatain gw BAPERAN, SENSI, GA NGERTI JOKES  gobloogg your jokes is making fun of my PHYSIQUE and my LOOKS",Nobully,https://twitter.com/iradoti/status/1705731785920073889
"RESULT CAROLINA DAY   MINGGU, 24 SEPTEMBER 2023  â˜†â˜† 8554 â˜†â˜†    SHIO : ANJING SILAHKAN ISI FORM WITHDRAW BAGI YANG JP                SALAM JP JABARTOTO https://t.co/IZmmYjXCw0",Nobully,https://twitter.com/jabar_toto/status/1705731734904701240
@YudiSet16452924 Yg lbh bajingan justru mrk yg menjadikan anjing china jadi polisi.,Nobully,https://twitter.com/jabangtetuko007/status/1705731680471069154
"RESULT CAROLINA DAY   MINGGU, 24 SEPTEMBER 2023  â˜†â˜† 8554 â˜†â˜†    SHIO : ANJING SILAHKAN ISI FORM WITHDRAW BAGI YANG JP                SALAM JP JABARTOTO https://t.co/Q64ZZXc9QT",Nobully,https://twitter.com/jabar_toto/status/1705731642797769093
@RibbonJoul @jehidayat3 @MprAldo cina anjing. https://t.co/bv8SL9MUf2,Nobully,https://twitter.com/used2beagoodboy/status/1705731508315505149
"her: *marah and literally saying one of the meanest thing to me*  me: *minta maaf berkali kali pdhl bkn gw yg salah*  1 week later me: *cmn ngmong jokes lu ga lucu anjing, gw tersinggung*"" her: ""apa sih tot sensi amat baperan jokes doang lagian""""",Nobully,https://twitter.com/iradoti/status/1705731458642718953
