full_text,Label
"['minimal', 'kl', 'gue', 'editin', 'cari', 'materinya', 'lah', 'ajg', 'udh', 'di', 'bagi', 'juga', 'tugas', 'per', 'materi', 'malah', 'kaga', 'di', 'cari', 'boro', 'boro', 'di', 'cari', 'pesan', 'ny', 'di', 'read', 'aja', 'kaga', 'babi', 'lo', 'anjing', 'beban', 'bnr', 'ðÿƒ', 'ijin', 'misuh', 'y']",Bully
"['jamur', 'ðÿ', 'ngapain', 'sih', 'ikut', 'becky', 'ke', 'luar', 'negerimending', 'tiduran', 'di', 'rumah', 'sama', 'aku', 'sambil', 'maen', 'sama', 'anjing', 'kalau', 'kamu', 'pergi', 'pergi', 'terus', 'kapan', 'ada', 'waktu', 'sama', 'aku', 'yaaaaaaang', 'ðÿðÿ']",Bully
"['susi', 'saha', 'anjing', 'btw', 'galang', 'sampe', 'sekarang', 'juga', 'masih', 'galangðÿ']",NoBully
"['gini', 'amat', 'jadi', 'tim', 'gede', 'pemegang', 'gelar', 'liga', 'inggris', 'keliatan', 'banget', 'kali', 'pada', 'syirik', 'nya', 'ke', 'emyu', 'apalagi', 'smal', 'club', 'itu', 'makan', 'tuh', 'fakta', 'anjing']",NoBully
"['lah', 'ini', 'anjing', 'lagi', 'ngetweet']",NoBully
"['gak', 'salah', 'sih', 'anjing', 'wkkwkwkwk']",NoBully
"['anjing', 'admin', 'kantor', 'pada', 'dibayarin', 'nonton', 'aespa', 'tot', 'iri', 'berat']",NoBully
"['tonjok', 'perut', 'dia', 'gw', 'cemburu', 'anjing']",NoBully
"['segala', 'salah', 'submit', 'anjing', 'anjing']",NoBully
"['mau', 'anak', 'anjing', 'pake', 'banget']",NoBully
"['bukan', 'masalah', 'percaya', 'rumor', 't', 'pi', 'tae', 'pasti', 'baklan', 'date', 'sama', 'cewek', 'ga', 'bakalan', 'sama', 'cowok', 'anjing', 'memang', 'mereka', 'yang', 'tolol', 'ngatain', 'tolol', 'bilang', 'tae', 'dating', 'women', 'tuh', 'langsung', 'pada', 'tantrum', 'jekicot', 'dating', 'bongo']",NoBully
"['anjing', 'lah', 'anjing']",NoBully
"['gausah', 'bawa', 'army', 'anjing', 'gaada', 'sangkut', 'pautnya', 'orang', 'ini', 'antar', 'reveluv', 'blink', 'paling', 'gak', 'demen', 'lagi', 'ngomongin', 'apa', 'yang', 'dibahas', 'apa', 'ganyambung', 'bgt']",NoBully
"['marah', 'sm', 'si', 'anjing', 'sakit', 'hati', 'gara', 'si', 'anjg', 'pengin', 'peluk', 'hn', 'ngarep', 'sm', 'sencol', 'sencol', 'jan', 'jawab', 'aneh', 'ya', 'sencol', 'kasihan', 'hn', 'akðÿº']",NoBully
"['emg', 'kntol', 'dh', 'lu', 'smw', 'anjing']",NoBully
"['mampus', 'anjing']",NoBully
"['pagi', 'pagi', 'udah', 'ngeliat', 'kelakuan', 'solos', 'kontol', 'anjing', 'muka', 'lu', 'sini', 'gue', 'remes', 'remes', 'biar', 'kisut', 'anjing']",Bully
['anjing'],NoBully
"['anjing', 'latto', 'ðÿ', 'kaget', 'aing']",NoBully
"['kek', 'anjing', 'kenapa', 'elu', 'bisa', 'saying', 'one', 'of', 'the', 'meanest', 'thing', 'to', 'me', 'tapi', 'giliran', 'gw', 'yg', 'ngomong', 'jahat', 'elu', 'koar', 'koar', 'ngatain', 'gw', 'baperan', 'sensi', 'ga', 'ngerti', 'jokes', 'gobloog', 'your', 'jokes', 'is', 'making', 'fun', 'of', 'my', 'physique', 'and', 'my', 'looks']",NoBully
"['result', 'carolina', 'day', 'minggu', 'september', 'â', 'â', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'bagi', 'yang', 'jp', 'salam', 'jp', 'jabartoto']",NoBully
"['yg', 'lbh', 'bajingan', 'justru', 'mrk', 'yg', 'menjadikan', 'anjing', 'china', 'jadi', 'polisi']",NoBully
"['result', 'carolina', 'day', 'minggu', 'september', 'â', 'â', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'bagi', 'yang', 'jp', 'salam', 'jp', 'jabartoto']",NoBully
"['cina', 'anjing']",NoBully
"['her', 'marah', 'and', 'literally', 'saying', 'one', 'of', 'the', 'meanest', 'thing', 'to', 'me', 'me', 'minta', 'maaf', 'berkali', 'kali', 'pdhl', 'bkn', 'gw', 'yg', 'salah', 'week', 'later', 'me', 'cmn', 'ngmong', 'jokes', 'lu', 'ga', 'lucu', 'anjing', 'gw', 'tersinggung', 'her', 'apa', 'sih', 'tot', 'sensi', 'amat', 'baperan', 'jokes', 'doang', 'lagian']",NoBully
"['st', 'of', 'al', 'boston', 'anjing', 'sebel', 'belagu', 'amatðÿµðÿ', 'giliran', 'di', 'ulti', 'sm', 'mew', 'ciut', 'lu', 'muntahhhâ']",Bully
"['semoga', 'dikasih', 'mimpi', 'dikejar', 'anjing']",NoBully
"['tulis', 'aja', 'langsung', 'anak', 'arab', 'anjing', 'lama', 'banget', 'lo', 'ngespil', 'gitu', 'aja', 'nyet']",NoBully
"['sapa', 'nk', 'dgr', 'salakan', 'raja', 'anjing', 'bangsat', 'gila', 'sb', 'dedak', 'babi', 'nk', 'abisâpukimak', 'kau', 'sialâðÿðÿðÿðÿðÿðÿ']",NoBully
"['cina', 'anjing']",NoBully
"['gua', 'mutermuter', 'kayak', 'org', 'tolol', 'anjing', 'kayaknye', 'efek', 'earring', 'ðÿ']",NoBully
"['bangsat', 'anjing', 'bilang', 'aja', 'lu', 'gak', 'mau', 'belikan', 'gw']",NoBully
['anjing'],NoBully
"['anjing', 'gue', 'cemburu']",NoBully
"['gwe', 'wanti', 'wanti', 'banget', 'ya', 'anjing', 'biar', 'gak', 'brengsek', 'ternyata', 'gue', 'yang', 'kena', 'kontwol']",NoBully
"['betul', 'tinggal', 'dibersihkan', 'lagi', 'pula', 'salah', 'apa', 'juga', 'si', 'anjing', 'itu']",NoBully
